customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
4122-9327,Male,0,No,No,66,No,Fiber optic,One year,No,Mailed check,64.77,4274.82,Yes
8935-6654,Male,0,No,No,44,No,DSL,One year,No,Credit card,104.8,4611.2,No
7246-7325,Female,1,No,No,25,Yes,No,One year,Yes,Credit card,24.28,607,No
3529-2225,Male,1,Yes,Yes,65,No,DSL,One year,Yes,Credit card,21.5,1397.5,Yes
8994-9864,Female,0,No,No,11,No,No,Two year,No,Bank transfer,81.43,895.73,No
1474-1753,Male,0,Yes,No,30,Yes,Fiber optic,Month-to-month,Yes,Credit card,36.3,1089,Yes
7267-4945,Female,0,No,No,48,No,DSL,Month-to-month,No,Mailed check,36.66,1759.68,Yes
3588-2210,Female,0,Yes,No,33,No,Fiber optic,Two year,Yes,Credit card,108.32,3574.56,No
6881-5847,Female,0,No,No,33,No,Fiber optic,Month-to-month,No,Credit card,30.45,1004.85,Yes
6772-4588,Female,0,No,No,2,Yes,No,Two year,No,Bank transfer,96.02,192.04,Yes
7807-3877,Male,0,Yes,Yes,6,No,Fiber optic,Month-to-month,No,Mailed check,28.83,172.98,Yes
4696-7511,Male,0,No,No,22,No,Fiber optic,One year,No,Electronic check,65.9,1449.8,Yes
2775-4830,Female,0,No,Yes,34,Yes,Fiber optic,One year,No,Credit card,100.6,3420.4,No
5986-9071,Female,0,No,Yes,9,No,No,One year,No,Electronic check,33.7,303.3,No
9017-7686,Male,0,Yes,Yes,50,No,Fiber optic,Two year,No,Mailed check,106.77,5338.5,No
6876-1992,Female,0,No,Yes,57,No,DSL,One year,Yes,Bank transfer,73.36,4181.52,No
3063-4362,Female,0,Yes,Yes,59,Yes,No,Month-to-month,Yes,Electronic check,97.11,5729.49,Yes
3858-2801,Male,0,Yes,Yes,43,Yes,No,Month-to-month,No,Mailed check,116.78,5021.54,No
2862-2041,Male,0,Yes,No,31,No,DSL,Month-to-month,No,Electronic check,32.42,1005.02,Yes
8847-7580,Female,1,No,Yes,58,Yes,No,Month-to-month,No,Credit card,83.05,4816.9,Yes
9984-6327,Female,0,No,No,10,Yes,Fiber optic,Two year,Yes,Electronic check,32.37,323.7,No
6553-8430,Female,0,No,No,13,Yes,No,Two year,Yes,Credit card,64.25,835.25,No
2494-2398,Female,1,Yes,No,55,No,No,One year,No,Mailed check,87.31,4802.05,No
7929-1842,Male,1,Yes,No,17,Yes,No,Two year,No,Electronic check,60.26,1024.42,No
7022-2882,Female,0,No,Yes,65,Yes,DSL,Two year,No,Mailed check,103.03,6696.95,No
3347-7566,Female,0,No,Yes,35,Yes,DSL,One year,No,Bank transfer,54.4,1904,No
6314-2391,Male,0,Yes,Yes,68,Yes,Fiber optic,One year,No,Bank transfer,35.43,2409.24,No
4531-9394,Male,0,Yes,Yes,11,No,Fiber optic,Two year,No,Credit card,79.49,874.39,No
1897-1125,Male,0,No,Yes,37,No,No,Two year,No,Electronic check,41.61,1539.57,No
7229-9725,Male,0,Yes,Yes,33,No,Fiber optic,Month-to-month,Yes,Credit card,93.21,3075.93,Yes
7843-5743,Male,0,Yes,No,6,No,DSL,One year,Yes,Bank transfer,76.42,458.52,No
7560-9584,Male,1,Yes,No,22,No,No,One year,Yes,Credit card,102.76,2260.72,No
3419-4871,Male,1,No,No,29,No,DSL,Month-to-month,Yes,Mailed check,108.78,3154.62,Yes
8354-6295,Male,0,No,Yes,23,Yes,No,Month-to-month,Yes,Credit card,65.47,1505.81,No
8565-8404,Female,0,No,Yes,61,No,No,One year,No,Electronic check,54.49,3323.89,Yes
1672-8368,Male,0,No,No,10,Yes,No,Two year,No,Credit card,76.87,768.7,No
8199-9586,Male,0,No,Yes,8,No,DSL,One year,Yes,Mailed check,23.84,190.72,No
7333-5655,Male,0,No,No,50,No,Fiber optic,Two year,Yes,Bank transfer,26.46,1323,Yes
6072-7171,Female,0,No,Yes,19,No,Fiber optic,Two year,No,Mailed check,78.31,1487.89,No
8967-4145,Female,0,Yes,No,66,No,DSL,One year,No,Mailed check,113.21,7471.86,No
7172-3527,Male,0,Yes,Yes,38,Yes,No,Two year,Yes,Bank transfer,105.89,4023.82,No
8355-4833,Male,0,Yes,No,6,No,Fiber optic,Two year,Yes,Credit card,79.84,479.04,No
3267-5096,Male,0,No,Yes,48,No,Fiber optic,One year,No,Credit card,114.69,5505.12,No
8167-2502,Male,1,No,Yes,67,Yes,Fiber optic,Month-to-month,Yes,Bank transfer,64.03,4290.01,Yes
4678-1461,Male,1,No,Yes,54,Yes,Fiber optic,Two year,No,Mailed check,57.84,3123.36,Yes
2298-1311,Female,0,No,Yes,18,Yes,Fiber optic,One year,Yes,Credit card,63.96,1151.28,Yes
8489-2029,Female,0,Yes,No,15,No,DSL,One year,Yes,Electronic check,43.37,650.55,No
2402-9576,Male,1,Yes,Yes,19,No,Fiber optic,Month-to-month,No,Mailed check,75.93,1442.67,Yes
2106-6649,Female,0,Yes,No,61,Yes,No,One year,No,Bank transfer,93.24,5687.64,No
3986-3209,Male,0,No,Yes,6,No,No,One year,Yes,Credit card,116.12,696.72,No
9897-8756,Male,1,Yes,No,26,Yes,DSL,Month-to-month,No,Bank transfer,70.51,1833.26,No
7553-8204,Female,0,Yes,No,46,Yes,No,One year,No,Electronic check,98.34,4523.64,No
3956-9937,Female,0,Yes,No,64,No,No,One year,Yes,Credit card,27.73,1774.72,No
1693-6776,Female,0,Yes,Yes,42,No,Fiber optic,One year,No,Mailed check,87.6,3679.2,No
8179-1570,Female,0,Yes,Yes,52,No,No,Two year,Yes,Electronic check,33.99,1767.48,No
2259-3255,Male,0,Yes,No,47,No,No,Month-to-month,Yes,Credit card,112.98,5310.06,Yes
2929-5288,Female,1,No,No,32,Yes,DSL,Two year,Yes,Credit card,70.74,2263.68,No
2438-6236,Female,1,Yes,No,63,Yes,DSL,Month-to-month,Yes,Credit card,36.92,2325.96,No
4878-9094,Female,0,No,No,21,Yes,Fiber optic,Two year,Yes,Electronic check,116.54,2447.34,No
8842-9612,Male,0,No,No,71,Yes,No,Month-to-month,Yes,Bank transfer,59.02,4190.42,No
3981-3114,Female,1,Yes,Yes,41,Yes,Fiber optic,One year,No,Mailed check,106.04,4347.64,No
5653-2292,Female,0,Yes,Yes,39,Yes,DSL,One year,Yes,Bank transfer,112.85,4401.15,No
6531-1674,Female,0,No,Yes,39,Yes,No,Two year,Yes,Mailed check,36.78,1434.42,No
5949-8912,Male,0,Yes,No,27,No,No,Two year,Yes,Credit card,107.12,2892.24,No
3353-6121,Male,1,No,No,10,Yes,DSL,One year,No,Credit card,65.52,655.2,No
2586-1829,Female,0,No,Yes,48,Yes,Fiber optic,Month-to-month,No,Electronic check,46.21,2218.08,Yes
9433-8648,Female,1,No,Yes,21,No,No,Two year,No,Mailed check,94.79,1990.59,No
5609-9108,Female,0,No,Yes,12,No,No,One year,Yes,Mailed check,77.17,926.04,Yes
4189-6939,Female,0,Yes,Yes,56,Yes,Fiber optic,Two year,No,Credit card,55.86,3128.16,No
6555-6990,Female,0,No,No,71,No,No,Two year,Yes,Mailed check,115.56,8204.76,No
9446-3290,Male,0,No,Yes,6,Yes,DSL,Two year,No,Credit card,70.89,425.34,Yes
6427-2795,Female,0,Yes,No,39,No,No,Two year,No,Bank transfer,66.54,2595.06,Yes
7229-3421,Female,0,Yes,No,34,Yes,No,Month-to-month,No,Mailed check,71.37,2426.58,No
8726-2020,Male,0,Yes,Yes,3,No,Fiber optic,One year,Yes,Credit card,87.67,263.01,No
5331-8932,Male,0,No,No,68,No,Fiber optic,Month-to-month,No,Bank transfer,73.53,5000.04,No
5480-5715,Male,0,No,No,29,No,Fiber optic,Two year,Yes,Credit card,51.07,1481.03,No
8849-4505,Male,1,No,No,19,No,DSL,One year,Yes,Bank transfer,110.55,2100.45,No
8739-2647,Male,0,No,Yes,14,Yes,DSL,Month-to-month,Yes,Mailed check,25.14,351.96,Yes
2465-4804,Male,0,Yes,No,61,No,No,Month-to-month,No,Bank transfer,47.97,2926.17,Yes
2758-6489,Male,0,No,Yes,5,No,Fiber optic,Month-to-month,No,Electronic check,20.91,104.55,Yes
5215-4050,Female,1,No,Yes,65,No,Fiber optic,Month-to-month,Yes,Bank transfer,35.92,2334.8,Yes
3303-8822,Male,0,No,Yes,23,No,Fiber optic,Two year,No,Electronic check,59.28,1363.44,Yes
5285-6890,Female,0,Yes,No,50,Yes,Fiber optic,One year,No,Bank transfer,77.08,3854,No
7021-4618,Male,0,Yes,No,40,Yes,Fiber optic,Two year,No,Electronic check,82.59,3303.6,No
2341-9609,Male,0,No,Yes,59,No,Fiber optic,Two year,No,Mailed check,94.66,5584.94,No
2904-4365,Female,0,Yes,Yes,8,Yes,No,Two year,Yes,Mailed check,52.16,417.28,No
6049-1356,Female,0,No,Yes,59,Yes,No,One year,No,Electronic check,74.76,4410.84,No
8734-1519,Female,0,Yes,Yes,10,Yes,Fiber optic,One year,Yes,Electronic check,111.59,1115.9,Yes
9835-3178,Female,1,Yes,Yes,54,No,Fiber optic,One year,No,Credit card,27.86,1504.44,No
9920-7948,Female,0,Yes,No,68,Yes,No,Month-to-month,Yes,Electronic check,115.89,7880.52,Yes
1256-4943,Female,0,Yes,No,45,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.33,4469.85,Yes
1924-3295,Male,0,Yes,Yes,58,Yes,DSL,Two year,Yes,Credit card,63.02,3655.16,No
3869-7999,Female,0,No,No,31,No,DSL,Two year,Yes,Credit card,49.45,1532.95,Yes
9813-8758,Female,0,No,No,68,No,No,One year,No,Mailed check,49.39,3358.52,No
6411-2295,Male,0,No,Yes,60,Yes,No,One year,No,Mailed check,58.07,3484.2,No
4555-8854,Female,0,Yes,Yes,7,No,Fiber optic,Two year,Yes,Electronic check,38.44,269.08,No
7498-4921,Male,0,No,Yes,28,Yes,No,Month-to-month,No,Mailed check,88.17,2468.76,No
8692-6246,Female,0,No,No,69,No,Fiber optic,One year,No,Credit card,65.67,4531.23,No
7841-5836,Male,0,No,No,6,Yes,No,Month-to-month,Yes,Bank transfer,74.22,445.32,No
9037-8550,Male,0,No,Yes,49,Yes,Fiber optic,Two year,No,Bank transfer,94.81,4645.69,No
1794-1104,Male,0,Yes,Yes,70,No,DSL,Two year,Yes,Electronic check,102.23,7156.1,Yes
8916-8993,Female,0,Yes,Yes,20,Yes,DSL,Two year,No,Bank transfer,25.92,518.4,No
2753-2578,Male,0,No,Yes,3,No,No,One year,Yes,Credit card,99,297,No
4700-5914,Male,0,Yes,No,46,No,Fiber optic,Month-to-month,No,Credit card,64.98,2989.08,Yes
8109-6427,Male,0,Yes,No,49,No,No,One year,Yes,Electronic check,88.88,4355.12,Yes
1256-4394,Male,0,Yes,Yes,61,No,DSL,Month-to-month,No,Electronic check,37.58,2292.38,No
2284-9204,Male,1,Yes,No,21,Yes,No,One year,No,Credit card,94.05,1975.05,Yes
8381-9038,Female,0,Yes,No,30,Yes,Fiber optic,Two year,No,Bank transfer,22.9,687,Yes
3526-7225,Male,0,No,No,24,No,DSL,Two year,No,Mailed check,89.88,2157.12,Yes
2430-4070,Male,1,No,No,14,Yes,DSL,One year,No,Bank transfer,94.61,1324.54,Yes
7779-7353,Female,1,No,Yes,4,Yes,Fiber optic,Two year,Yes,Bank transfer,104.64,418.56,Yes
5521-7899,Male,0,Yes,No,22,Yes,Fiber optic,One year,No,Credit card,34.3,754.6,Yes
1110-7483,Female,1,Yes,No,33,Yes,No,Two year,No,Mailed check,64.87,2140.71,Yes
4290-8848,Female,1,No,No,43,No,No,Two year,Yes,Bank transfer,51.43,2211.49,No
6980-2865,Female,0,No,No,38,No,No,Month-to-month,No,Credit card,47.47,1803.86,No
5961-4965,Male,0,Yes,No,27,No,Fiber optic,Two year,Yes,Credit card,85.95,2320.65,Yes
6890-9796,Female,0,No,No,10,No,No,One year,No,Credit card,73.28,732.8,No
1172-2615,Male,0,Yes,No,22,Yes,No,Two year,No,Bank transfer,114.64,2522.08,No
5840-7815,Female,0,Yes,No,48,No,Fiber optic,Two year,Yes,Bank transfer,117.77,5652.96,No
8412-6225,Male,0,Yes,No,40,No,Fiber optic,Month-to-month,No,Bank transfer,66.66,2666.4,Yes
6422-7985,Male,0,Yes,Yes,3,No,No,Month-to-month,Yes,Mailed check,70.57,211.71,No
4519-4371,Female,0,No,Yes,24,No,Fiber optic,Month-to-month,Yes,Credit card,78.04,1872.96,Yes
6134-7367,Female,0,Yes,Yes,47,No,DSL,One year,Yes,Bank transfer,85.73,4029.31,No
4908-6003,Female,0,No,No,59,Yes,No,Two year,No,Electronic check,85.87,5066.33,No
9804-3838,Male,0,No,Yes,66,No,Fiber optic,Two year,Yes,Credit card,61.46,4056.36,No
4196-7290,Male,1,No,Yes,24,No,Fiber optic,Two year,Yes,Bank transfer,113.28,2718.72,No
9808-5729,Female,1,No,No,57,No,DSL,Month-to-month,Yes,Mailed check,48.62,2771.34,Yes
2677-5055,Male,1,No,Yes,15,No,No,One year,Yes,Credit card,73.54,1103.1,No
6744-8015,Female,0,No,No,45,Yes,Fiber optic,Month-to-month,Yes,Mailed check,99.45,4475.25,Yes
5380-9428,Male,0,Yes,Yes,8,No,No,One year,Yes,Bank transfer,115.94,927.52,No
7434-9019,Male,0,No,Yes,36,Yes,No,Month-to-month,Yes,Mailed check,89.72,3229.92,No
8449-8996,Male,0,No,No,58,Yes,No,Month-to-month,No,Bank transfer,88.08,5108.64,No
6289-5646,Female,0,Yes,No,46,Yes,No,One year,Yes,Credit card,100.84,4638.64,No
8230-8479,Female,0,No,No,7,Yes,DSL,Two year,No,Electronic check,32.18,225.26,No
3711-1848,Male,1,Yes,Yes,39,Yes,Fiber optic,Month-to-month,No,Bank transfer,28.08,1095.12,No
8291-1152,Female,0,Yes,No,12,Yes,DSL,Month-to-month,No,Electronic check,33,396,Yes
6133-7022,Male,0,Yes,No,17,No,DSL,Month-to-month,No,Electronic check,91.61,1557.37,Yes
3480-7745,Female,0,No,Yes,19,Yes,No,Two year,Yes,Mailed check,63.13,1199.47,No
3290-5059,Female,0,Yes,Yes,18,Yes,No,Two year,No,Bank transfer,114.4,2059.2,No
4921-9108,Female,0,Yes,No,4,No,DSL,Two year,Yes,Credit card,48.96,195.84,Yes
6986-9951,Female,0,Yes,No,10,Yes,Fiber optic,One year,Yes,Credit card,104.36,1043.6,No
5693-9209,Male,1,Yes,Yes,9,Yes,Fiber optic,Month-to-month,Yes,Electronic check,112.97,1016.73,Yes
3545-9788,Female,1,No,Yes,69,Yes,Fiber optic,Month-to-month,No,Electronic check,70.11,4837.59,Yes
1901-6067,Female,1,Yes,No,56,Yes,DSL,Month-to-month,Yes,Credit card,31.37,1756.72,No
5403-2934,Male,0,Yes,Yes,2,Yes,Fiber optic,One year,No,Mailed check,56.44,112.88,No
9185-3734,Male,0,No,No,68,Yes,Fiber optic,Two year,Yes,Credit card,64.61,4393.48,No
1753-8729,Female,0,No,Yes,15,Yes,No,Two year,Yes,Electronic check,104.15,1562.25,Yes
2276-7108,Female,1,Yes,Yes,5,No,DSL,One year,Yes,Credit card,109.75,548.75,No
2415-8483,Male,0,Yes,Yes,67,Yes,Fiber optic,Month-to-month,No,Bank transfer,95.81,6419.27,Yes
5016-3466,Male,0,Yes,No,39,Yes,Fiber optic,One year,No,Mailed check,91.78,3579.42,No
6038-2703,Male,1,Yes,Yes,70,No,No,Two year,Yes,Bank transfer,20.14,1409.8,No
9515-7767,Male,0,No,No,8,Yes,No,One year,Yes,Electronic check,110.28,882.24,No
4879-5778,Female,1,Yes,Yes,65,Yes,No,One year,Yes,Electronic check,62.63,4070.95,No
2785-3546,Female,0,No,No,41,No,Fiber optic,Month-to-month,Yes,Mailed check,33.34,1366.94,No
2964-2481,Male,0,No,No,41,No,DSL,Two year,No,Mailed check,64.29,2635.89,No
5896-5262,Male,0,Yes,Yes,42,Yes,DSL,Two year,Yes,Bank transfer,58.83,2470.86,Yes
4641-3141,Male,0,No,No,72,Yes,DSL,One year,Yes,Mailed check,31.9,2296.8,Yes
6432-3007,Male,1,No,Yes,34,Yes,DSL,Month-to-month,Yes,Credit card,99.31,3376.54,Yes
4066-5505,Male,1,Yes,Yes,56,No,Fiber optic,Month-to-month,No,Credit card,36.94,2068.64,Yes
7868-4267,Female,1,Yes,Yes,32,No,Fiber optic,One year,No,Electronic check,28.6,915.2,Yes
4588-1480,Male,0,No,No,62,No,Fiber optic,Two year,No,Credit card,46.5,2883,Yes
1916-4594,Female,0,No,No,30,Yes,DSL,Month-to-month,Yes,Bank transfer,72.3,2169,No
3328-4084,Female,0,Yes,Yes,31,No,No,Two year,No,Electronic check,88.94,2757.14,No
4300-3137,Female,0,Yes,No,5,Yes,DSL,Month-to-month,Yes,Electronic check,71.59,357.95,Yes
2188-7120,Female,0,No,Yes,3,Yes,No,Two year,Yes,Electronic check,102.96,308.88,No
6846-4657,Female,0,No,No,42,Yes,DSL,Two year,No,Credit card,83.62,3512.04,No
4619-2705,Male,1,No,No,17,Yes,No,Month-to-month,No,Electronic check,37.84,643.28,Yes
5088-2110,Female,0,No,Yes,31,No,Fiber optic,Month-to-month,Yes,Bank transfer,63.77,1976.87,Yes
7204-6754,Female,0,Yes,Yes,7,No,Fiber optic,Two year,No,Mailed check,106.69,746.83,No
2215-6600,Female,0,No,Yes,21,No,DSL,Month-to-month,No,Electronic check,51.23,1075.83,No
8113-3573,Male,1,Yes,Yes,71,Yes,Fiber optic,Two year,No,Electronic check,62.27,4421.17,No
7437-9043,Male,0,No,Yes,25,No,No,Two year,No,Bank transfer,49.15,1228.75,Yes
5781-2342,Male,0,No,Yes,55,Yes,Fiber optic,Two year,No,Mailed check,29.5,1622.5,Yes
7052-4056,Female,0,No,No,61,No,No,One year,Yes,Credit card,38.12,2325.32,No
2404-6632,Female,0,No,No,60,No,DSL,One year,Yes,Mailed check,93.72,5623.2,No
1568-9226,Female,0,Yes,No,67,No,No,Two year,No,Mailed check,66.67,4466.89,Yes
4308-3422,Male,0,No,Yes,22,Yes,DSL,Month-to-month,Yes,Credit card,27.68,608.96,No
9561-7874,Female,0,Yes,Yes,50,No,No,One year,No,Credit card,109.88,5494,Yes
8955-8750,Male,1,Yes,Yes,13,Yes,No,Month-to-month,No,Bank transfer,106.03,1378.39,Yes
5400-7102,Male,0,No,No,19,No,DSL,One year,No,Mailed check,24.83,471.77,No
8259-6257,Male,0,No,No,36,No,No,Two year,Yes,Mailed check,33.17,1194.12,No
3604-2075,Female,1,Yes,Yes,57,Yes,Fiber optic,Two year,No,Bank transfer,100.46,5726.22,No
4262-5488,Female,1,Yes,Yes,23,Yes,DSL,Month-to-month,Yes,Electronic check,64.73,1488.79,No
6730-6640,Female,1,No,Yes,4,Yes,Fiber optic,One year,No,Mailed check,114.13,456.52,No
5408-7709,Male,0,Yes,No,4,No,DSL,Month-to-month,Yes,Mailed check,83.44,333.76,No
6713-8520,Male,0,No,Yes,23,Yes,DSL,One year,No,Bank transfer,61.53,1415.19,No
5631-5890,Female,0,No,No,67,No,No,Month-to-month,Yes,Bank transfer,75.02,5026.34,No
1930-7620,Male,1,Yes,No,36,No,Fiber optic,One year,No,Mailed check,34.69,1248.84,No
4111-6622,Female,0,Yes,No,38,No,Fiber optic,One year,No,Electronic check,77.14,2931.32,No
3999-6499,Male,1,No,No,22,Yes,Fiber optic,Month-to-month,No,Mailed check,92.61,2037.42,No
1879-2166,Male,0,No,Yes,40,No,Fiber optic,One year,No,Bank transfer,65.45,2618,Yes
8496-3346,Female,0,Yes,No,68,No,Fiber optic,Month-to-month,Yes,Mailed check,117.25,7973,Yes
3762-3595,Female,0,Yes,No,43,Yes,Fiber optic,Two year,Yes,Electronic check,64.3,2764.9,Yes
7112-1230,Female,0,Yes,No,55,No,Fiber optic,One year,No,Electronic check,23.7,1303.5,Yes
6015-3736,Female,0,Yes,Yes,32,Yes,No,One year,No,Mailed check,30.07,962.24,No
4087-3701,Male,0,No,No,59,No,Fiber optic,Two year,Yes,Bank transfer,117.62,6939.58,No
1612-7147,Female,0,Yes,Yes,17,Yes,No,Month-to-month,Yes,Electronic check,55.93,950.81,No
8772-3508,Female,0,Yes,Yes,3,Yes,No,Month-to-month,No,Credit card,57.26,171.78,Yes
2928-5631,Male,0,No,No,13,No,No,Two year,Yes,Credit card,101.4,1318.2,Yes
9132-4402,Male,0,No,Yes,26,No,No,Month-to-month,No,Credit card,48.94,1272.44,Yes
2229-2659,Female,0,Yes,Yes,2,Yes,DSL,Two year,No,Mailed check,113.05,226.1,No
6123-7979,Female,0,No,No,34,No,DSL,Month-to-month,Yes,Electronic check,103.52,3519.68,Yes
6615-3996,Male,0,Yes,Yes,18,Yes,Fiber optic,One year,No,Bank transfer,106.09,1909.62,Yes
1960-3611,Male,1,No,No,35,No,No,One year,No,Mailed check,31.08,1087.8,No
7738-8220,Male,1,No,No,24,No,Fiber optic,Two year,Yes,Mailed check,67.34,1616.16,No
6664-7305,Male,0,No,No,2,Yes,No,One year,Yes,Credit card,84.85,169.7,Yes
5557-1824,Male,0,Yes,Yes,65,No,Fiber optic,Month-to-month,Yes,Credit card,51.42,3342.3,Yes
2944-9148,Male,1,No,Yes,11,No,Fiber optic,Two year,No,Electronic check,103.95,1143.45,Yes
6584-6953,Male,0,No,No,5,Yes,DSL,Two year,No,Mailed check,84.15,420.75,No
4633-1035,Male,0,No,No,72,No,No,Two year,No,Credit card,31.17,2244.24,No
4072-2978,Female,0,No,No,14,Yes,DSL,One year,Yes,Credit card,30.48,426.72,No
